ProductInfo_title__tomzd,ProductInfo_bank-name__UNj3m,ProductInfo_top-rate__JKyeA,ProductInfo_number__KjJso,ProductInfo_rate__ruWXq,TagList_tag__xQBbK,TagList_tag__xQBbK (2),TagList_tag__xQBbK (3),blind
제주DREAM 정기예금(고정금리형-만기지급식),제주은행,최고 2.40%,2.4,기본 2.30%,방문없이가입,누구나가입,,
IBK혁신창업기업응원통장[중소기업금융채권],IBK기업은행,최고 2.35%,2.35,기본 2.25%,방문없이가입,누구나가입,,
제주DREAM 정기예금(고정금리형-월이자지급식),제주은행,최고 2.35%,2.35,기본 2.25%,방문없이가입,누구나가입,,
스마트모아Dream정기예금,광주은행,최고 2.35%,2.35,기본 2.15%,방문없이가입,누구나가입,,
독도사랑예금,SH수협은행,최고 2.30%,2.3,기본 2.30%,방문없이가입,누구나가입,,
미래설계 크레바스 연금예금,신한은행,최고 2.30%,2.3,기본 2.30%,누구나가입,,,
사랑해정기예금(실세금리정기예금),SH수협은행,최고 2.30%,2.3,기본 2.30%,방문없이가입,누구나가입,,
어촌복지예금 (거치식예금),SH수협은행,최고 2.30%,2.3,기본 2.30%,누구나가입,,,
일반정기예금,SH수협은행,최고 2.30%,2.3,기본 2.30%,방문없이가입,누구나가입,,
IBK혁신창업기업응원통장[실세금리정기예금],IBK기업은행,최고 2.30%,2.3,기본 2.20%,방문없이가입,누구나가입,,
매월이자Wa예금,광주은행,최고 2.30%,2.3,기본 2.00%,방문없이가입,누구나가입,,
IBK굴리기통장(정기예금),IBK기업은행,최고 2.29%,2.29,기본 2.29%,방문없이가입,누구나가입,,
자유적립식예금,iM뱅크,최고 2.26%,2.26,기본 2.21%,방문없이가입,누구나가입,,
IBK더굴리기통장(정기예금),IBK기업은행,최고 2.25%,2.25,기본 2.25%,방문없이가입,누구나가입,,
일반정기예금,KB국민은행,최고 2.25%,2.25,기본 2.25%,방문없이가입,누구나가입,,
장기회전정기예금,부산은행,최고 2.25%,2.25,기본 2.25%,누구나가입,,,
3·6·9 정기예금,하나은행,최고 2.20%,2.2,기본 2.20%,방문없이가입,누구나가입,,
실세금리정기예금,IBK기업은행,최고 2.20%,2.2,기본 2.20%,방문없이가입,누구나가입,,
정기예금(만기이자지급식),제주은행,최고 2.20%,2.2,기본 2.20%,방문없이가입,누구나가입,,
행복knowhow 연금예금,하나은행,최고 2.20%,2.2,기본 2.20%,누구나가입,,,
맞춤형 자유만기 정기예금,전북은행,최고 2.20%,2.2,기본 2.10%,누구나가입,,,
우리 SUPER 정기예금,우리은행,최고 2.15%,2.15,기본 2.15%,방문없이가입,누구나가입,,
정기예금(월이자지급식),제주은행,최고 2.15%,2.15,기본 2.15%,방문없이가입,누구나가입,,
큰만족실세예금,NH농협은행,최고 2.15%,2.15,기본 2.15%,방문없이가입,누구나가입,,
플러스정기예금,iM뱅크,최고 2.15%,2.15,기본 2.15%,누구나가입,,,
마니마니정기예금,경남은행,최고 2.15%,2.15,기본 2.10%,방문없이가입,누구나가입,,
국민수퍼정기예금(개인),KB국민은행,최고 2.15%,2.15,기본 2.05%,방문없이가입,누구나가입,,
퍼스트정기예금,SC제일은행,최고 2.15%,2.15,기본 2.05%,누구나가입,,,
플러스다모아예금,광주은행,최고 2.15%,2.15,기본 2.05%,방문없이가입,누구나가입,,
Tops CD연동 정기예금,신한은행,최고 2.13%,2.13,기본 2.13%,누구나가입,,,
JB회전정기예금,전북은행,최고 2.10%,2.1,기본 2.10%,누구나가입,,,
시장금리부 정기예금,전북은행,최고 2.10%,2.1,기본 2.10%,누구나가입,,,
정기예금,IBK기업은행,최고 2.10%,2.1,기본 2.10%,방문없이가입,누구나가입,,
정기예금,NH농협은행,최고 2.10%,2.1,기본 2.10%,누구나가입,,,
고단위 플러스(금리연동형),하나은행,최고 2.05%,2.05,기본 2.05%,방문없이가입,누구나가입,,
고단위 플러스(금리확정형),하나은행,최고 2.05%,2.05,기본 2.05%,방문없이가입,누구나가입,,
더드림예금,광주은행,최고 2.05%,2.05,기본 2.05%,방문없이가입,누구나가입,,
메리트정기예금,부산은행,최고 2.05%,2.05,기본 2.05%,방문없이가입,누구나가입,,
신한 S드림(DREAM)정기예금,신한은행,최고 2.05%,2.05,기본 2.05%,방문없이가입,누구나가입,,
일반정기예금,광주은행,최고 2.05%,2.05,기본 2.05%,누구나가입,,,
국민수퍼정기예금(CD금리연동형),KB국민은행,최고 2.02%,2.02,기본 2.02%,방문없이가입,누구나가입,,
Tops 회전 정기예금,신한은행,최고 2.00%,2,기본 2.00%,누구나가입,,,
일반 정기예금,KDB산업은행,최고 2.00%,2,기본 2.00%,방문없이가입,누구나가입,,
장기회전정기예금,경남은행,최고 2.00%,2,기본 2.00%,방문없이가입,누구나가입,,
정기예금,경남은행,최고 2.00%,2,기본 2.00%,방문없이가입,누구나가입,,
정기예금,신한은행,최고 2.00%,2,기본 2.00%,누구나가입,,,
정기예금,우리은행,최고 1.95%,1.95,기본 1.95%,방문없이가입,누구나가입,,
정기예금,하나은행,최고 1.95%,1.95,기본 1.95%,누구나가입,,,
IBK회전정기예금,IBK기업은행,최고 1.90%,1.9,기본 1.90%,누구나가입,,,
회전플러스정기예금,부산은행,최고 1.90%,1.9,기본 1.90%,누구나가입,,,
파랑새정기예금,iM뱅크,최고 1.85%,1.85,기본 1.85%,누구나가입,,,
퍼스트정기예금(회전식),SC제일은행,최고 1.85%,1.85,기본 1.85%,누구나가입,,,
두루두루정기예금,우리은행,최고 1.85%,1.85,기본 1.75%,방문없이가입,누구나가입,,
복리회전예금,iM뱅크,최고 1.58%,1.58,기본 1.53%,방문없이가입,누구나가입,,
